#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Pseudomonas aeruginosa PAO1,PAO1,19537,SAMN02603714 ,PRJNA331,Proteobacteria,Gammaproteobacteria,GCA_000006765.1 ,6.2644,66.6,chromosome:NC_002516.2/AE004091.2,-,1,5697,5572,5/16/2000,1/24/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1
Pseudomonas aeruginosa UCBPP-PA14,UCBPP-PA14,19537,SAMN02603591 ,PRJNA386,Proteobacteria,Gammaproteobacteria,GCA_000014625.1 ,6.53765,66.3,chromosome:NC_008463.1/CP000438.1,-,1,6177,6021,10/6/2006,5/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/625/GCF_000014625.1_ASM1462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/625/GCA_000014625.1_ASM1462v1
Pseudomonas aeruginosa PA7,PA7,19537,SAMN02603435 ,PRJNA16720,Proteobacteria,Gammaproteobacteria,GCA_000017205.1 ,6.58834,66.4,chromosome:NC_009656.1/CP000744.1,-,1,6263,6010,7/5/2007,5/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/205/GCF_000017205.1_ASM1720v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/205/GCA_000017205.1_ASM1720v1
Pseudomonas aeruginosa LESB58,LESB58,19537,SAMEA1705916 ,PRJEA31101,Proteobacteria,Gammaproteobacteria,GCA_000026645.1 ,6.60176,66.3,chromosome:NC_011770.1/FM209186.1,-,1,6298,6135,12/24/2008,5/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/645/GCF_000026645.1_ASM2664v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/645/GCA_000026645.1_ASM2664v1
Pseudomonas aeruginosa M18,M18,19537,SAMN02603849 ,PRJNA61423,Proteobacteria,Gammaproteobacteria,GCA_000226155.1 ,6.32775,66.5,chromosome:NC_017548.1/CP002496.1,-,1,6001,5858,9/19/2011,5/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/155/GCF_000226155.1_ASM22615v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/155/GCA_000226155.1_ASM22615v1
Pseudomonas aeruginosa DK2,DK2,19537,SAMN02603895 ,PRJNA73815,Proteobacteria,Gammaproteobacteria,GCA_000271365.1 ,6.40266,66.3,chromosome:NC_018080.1/CP003149.1,-,1,6098,5910,6/20/2012,5/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/365/GCF_000271365.1_ASM27136v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/365/GCA_000271365.1_ASM27136v1
Pseudomonas aeruginosa SJTD-1,SJTD-1,19537,SAMN02470939 ,PRJNA167272,Proteobacteria,Gammaproteobacteria,GCA_000271985.2 ,6.24383,66.5,chromosome:NZ_CP015877.1/CP015877.1,-,1,5863,5739,6/2/2016,3/20/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/985/GCF_000271985.2_ASM27198v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/985/GCA_000271985.2_ASM27198v2
Pseudomonas aeruginosa NCGM2.S1,NCGM2.S1,19537,SAMD00061003 ,PRJDA73453,Proteobacteria,Gammaproteobacteria,GCA_000284555.1 ,6.76466,66.1,chromosome 1:NC_017549.1/AP012280.1,-,1,6476,6289,9/29/2011,5/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/555/GCF_000284555.1_ASM28455v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/555/GCA_000284555.1_ASM28455v1
Pseudomonas aeruginosa B136-33,B136-33,19537,SAMN02603669 ,PRJNA185969,Proteobacteria,Gammaproteobacteria,GCA_000359505.1 ,6.42101,66.4,chromosome:NC_020912.1/CP004061.1,-,1,6062,5914,4/9/2013,5/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/505/GCF_000359505.1_ASM35950v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/505/GCA_000359505.1_ASM35950v1
Pseudomonas aeruginosa RP73,RP73,19537,SAMN02603771 ,PRJNA206088,Proteobacteria,Gammaproteobacteria,GCA_000414035.1 ,6.34203,66.5,chromosome:NC_021577.1/CP006245.1,-,1,6014,5845,6/24/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/414/035/GCF_000414035.1_ASM41403v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/414/035/GCA_000414035.1_ASM41403v1
